Organization Name,Short Name,Category,Summary,Description
AIESEC in Seattle,AIESEC,Business,AIESEC is as an international platform for students to develop their leadership potential by facilitating international exchanges between 120+ countries & territories in the form of internships and volunteer experiences.,"AIESEC is a non-profit organization as well as a national affiliated RSO at the Foster School of Business. The club functions as a platform for students to explore and develop their leadership potential in sales, marketing, finance, management, HR, and global communication by facilitating international exchanges between 120+ countries & territories in the form of internships and volunteer experiences. Our mission statement is ""We strive to achieve peace and fulfillment of humankind's potential"" NOTE: Members do not have to go on international exchanges. Please contact vptm-seattle@aiesecus.org for more information! We meet Mondays 6-7:30 PM in Paccar Hall 297!"
Algorithmic Trading Club,ATC,Business,"The Algorithmic Trading Club is a collaborative community for students who are interested in the financial market, learning computational skills in finance and risk management, all the while exploring professional networks.","Algorithmic Trading Club (ATC) is a Registered Student Organization (RSO) focused on cultivating early talent and technical expertise in quantitative research and algorithm development at the University of Washington - Seattle. Open to students of all experience levels and backgrounds, ATC members are united by grit, intellectual curiosity, and a passion for quantitative finance. The club includes participants ranging from early undergraduates to PhD candidates who collaborate closely to develop research papers, compete in competitions, and engage in skill-building workshops. Supported by the Paul G. Allen School of Computer Science & Engineering and endorsed by the Applied Mathematics Department, ATC stands as the leading student-led hub for financial engineering talent development in the Pacific Northwest, rapidly growing in name recognition from major quantitative finance firms and within the greater quant finance community. ATC is committed to advancing quantitative finance knowledge and serves as the University of Washington&rsquo;s primary pipeline to research, development, and trading roles. Applications are accepted twice per academic year, offering students a unique opportunity to join a community dedicated to mastering quantitative finance and driving meaningful advancements in the industry. Link to apply. Link to join our discord."
Allen School Student Advisory Council,SAC,Academic,"The Allen School Student Advisory Council (SAC) serves as the collective voice of undergraduate and master's students. We work with advisers, staff, and faculty, and other students to create long-term change in the Allen School.","The Allen School Student Advisory Council will serve as the collective voice of undergraduate and master's students in CSE. This advisory council aims to use research-based methods to assess and understand students&rsquo; needs and ultimately create a structure to address them. The advisory council seeks to collaborate with advisers, staff, and faculty on key issues such as diversity, social responsibility, and student wellness."
Alliance for Disability Law & Justice,ADLJ,Law,"The Alliance for Disability Law and Justice (ADLJ) at UW Law advocates for a more inclusive, accessible, and holistic approach to law school from a foundation of anti-racism, intersectionality, and anti-ableism.","The Alliance for Disability Law and Justice (ADLJ) at UW Law advocates for a more inclusive, accessible, and holistic approach to law school from a foundation of anti-racism, intersectionality, and anti-ableism. ADLJ is guided by a vision of a legal profession that centers and celebrates the perspectives of all people, particularly those that have been marginalized by the legal system. As an intersectional feminist organization, ADLJ is committed to fighting ableism and oppression in our community, advocating for positive change and accessibility, and collaborating throughout the process. The mission of the Alliance is to create a UW Law community that acknowledges barriers to authentic inclusion, removes them as they arise and guarantees accessibility and inclusion for everyone."
Alliance for Equal Representation in Medicine,AFERM,Medical/Dental/Nursing/Pharmacy,The mission of AFERM is to promote diversity within the University of Washington School of Medicine (UWSOM) for the purpose of providing culturally competent and representative future physicians for all patients and communiti,The mission of AFERM is to promote diversity within the University of Washington School of Medicine (UWSOM) for the purpose of providing culturally competent and representative future physicians for all patients and communities.
Alpha Chi Omega,AXO,Fraternities & Sororities- IFC/PH,"The Alpha Chi Omega Fraternity is devoted to enriching the lives of members through lifetime opportunities of friendship, leadership, learning and service.","The Alpha Chi Omega Fraternity is devoted to enriching the lives of members through lifetime opportunities of friendship, leadership, learning and service. The Alpha Chi Omega Foundation serves to support the educational and philanthropic purposes of Alpha Chi Omega through effective fundraising and stewardship of financial resources. The National Housing Corporation promotes, supports and develops appropriate, desirable and safe facilities to enhance the Alpha Chi Omega experience. Pearl Stone Partners, LLC delivers comprehensive human resources services and supports employees and those who direct them, to enhance the Real. Strong. Woman. Experience."
Alpha Delta Phi Fraternity,Alpha Delts,Fraternities & Sororities- IFC/PH,"The objectives of THE ALPHA DELTA PHI are the cultivation of character, learning, and enduring friendships.","The objectives of THE ALPHA DELTA PHI are the cultivation of character, learning, and enduring friendships."
Alpha Delta Pi,ADPi,Fraternities & Sororities- IFC/PH,Alpha Delta Pi is the first secret society for women. Providing women with a well rounded college experience.,Alpha Delta Pi is the first secret society for women. Providing women with a well rounded college experience.
Alpha Epsilon Delta Pre-Health Honor Society,AED,Health Sciences,"The Washington Beta Chapter of Alpha Epsilon Delta is a Pre-Health Honor Society, focused on providing resources to support students on their path to a healthcare profession.","We are dedicated to encouraging and recognizing excellence in pre-medical scholarship, building a pre-health community here on campus, promoting a life of service, and empowering students to make informed decisions in the pursuit of healthcare professions. We do this through events such as physician panels, MCAT prep nights, medical skills building, case studies, admissions committee visits, volunteer events, and a yearly physician shadowing program. Visit us at www.aeduw.com to learn more and learn how to join one of the largest pre-health communities on campus. Apply to be a member for 2022-2023: https://docs.google.com/forms/d/1IodSLRJYWcAT70Qu9TO1ycEsroaSIR7P4DAPmxS6MQ4/viewform?edit_requested=true Join our email listserv to stay updated on AED's upcoming meetings & events: https://docs.google.com/forms/d/1Z_I8PsGG9x7d9a8X6SFbyfUnRmV9h6l2p-DBN8cmeck/viewform?edit_requested=true"
Alpha Gamma Delta,AGD,Fraternities & Sororities- IFC/PH,"Alpha Gamma Delta is an international women's fraternity that promotes academic excellence, philanthropic giving, ongoing leadership and personal development and above all, a spirit of loving sisterhood. Guided by our Purpose","Alpha Gamma Delta is an international women's fraternity that promotes academic excellence, philanthropic giving, ongoing leadership and personal development and above all, a spirit of loving sisterhood. Guided by our Purpose, Alpha Gamma Deltas strive to attain a higher standard, thereby improving their lives, the lives of those around them, and the communities in which they live. Together, we continually work to: Inspire the Woman. Impact the World."
alpha Kappa Delta Phi at University of Washington,UW aKDPhi ,Fraternities & Sororities- Multicultural Greek Council,"Our mission is to provide sisterhood among women, while promoting scholarship, leadership and Asian awareness in the university and community.","The purpose of this Asian American interest sorority is to promote sisterhood, scholarship, leadership and Asian awareness in the university and community, while encouraging the expression of the individual. The sorority is composed of highly motivated women with diverse backgrounds, interests and fields of study. Each woman, however, shares a strong bond of love, friendship and sisterhood. With a supportive network of sisters, each woman can strive to fulfill her personal, academic and career goals."
Alpha Kappa Psi Business Fraternity,AKPsi,Business,"Our goal is to bring together students who share an interest in business and provide them with opportunities to learn and grow through professional development, philanthropy, social events, and more.","Our goal is to bring together students who share an interest in business and provide them with opportunities to learn and grow through professional development, philanthropy, social events, and more."
"Alpha Omega Alpha Medical Honor Society, UW Chapter",AOA,"Academic, Health Sciences, Medical/Dental/Nursing/Pharmacy",National Honor Medical Society for MD candidates. Its purpose is to recognize and perpetuate excellence in the medical profession.,"Alpha Omega Alpha (A&Omega;A) is a national Honor Medical Society with over 120 Chapters around the country. Its purpose is to recognize and perpetuate excellence in the medical profession. Its mission statement is &ldquo;AOA is dedicated to the believe that in the profession of medicine we will improve care for all by recognizing high educational achievement, honoring gifted teaching, encouraging the development of leaders in academia and the community, supporting the ideals of humanism, and promoting service to others.​&rdquo;"
Alpha Omega Campus Ministry,AO Seattle,Religious/Spiritual,The purpose of this organization is to create a fun and safe environment for students to fellowship and discuss Christianity and the Bible. Alpha Omega is a college ministry of the Seattle Church of Christ.,The purpose of this organization is to create a fun and safe environment for students to fellowship and discuss Christianity and the bible. Alpha Omega is a college ministry of the Seattle Church of Christ.
Alpha Phi,Aphi,Fraternities & Sororities- IFC/PH,"Alpha Phi is an organization dedicated to promoting sisterhood, cultivating leadership, encouraging intellectual curiosity, and advocating service among its members.","Alpha Phi is an organization dedicated to promoting sisterhood, cultivating leadership, encouraging intellectual curiosity, and advocating service among its members."
Alpha Phi Alpha Fraternity Incorporated,Alpha Xi,Fraternities & Sororities- National Pan-Hellenic Council,"ALPHA PHI ALPHA FRATERNITY, INC. DEVELOPS LEADERS, PROMOTES BROTHERHOOD AND ACADEMIC EXCELLENCE, WHILE PROVIDING SERVICE AND ADVOCACY FOR OUR COMMUNITIES.","Alpha Phi Alpha Fraternity Inc., founded in 1906, is the first intercollegiate Greek-Letter Fraternity that has strived to forge deep bonds of brotherhood among black men pursuing higher education through community service, personal development, and social events."
Alpha Phi Omega - Gamma Alpha,APO,Special Interest,"The UW Chapter of Alpha Phi Omega (a national co-ed service fraternity) is dedicated to fostering leadership, friendship, and service in our members so as to develop as servant leaders in the community.","The UW Chapter of Alpha Phi Omega (an national co-ed service fraternity) is dedicated to providing community service, leadership development, and fellowship opportunities for students."
Alpha Sigma Phi,ASP,Fraternities & Sororities- IFC/PH,"On Saturday, December 6, 1845, three young men sat down in a small room at Yale College and created a fraternal society based on high moral values and centered on the concept of brotherhood. To Better the Man!","On Saturday, December 6, 1845, three young men sat down in a small room at Yale College and created a fraternal society based on high moral values and centered on the concept of brotherhood. Now over 175 years later Alpha Sigma Phi is one of the largest and strongest fraternities in the nation. Silence | Charity | Purity | Honor | Patriotism A group of students was organized by alumni of Alpha Sigma Phi living in the Seattle Area to seek a charter in Alpha Sigma Phi. On January 8, 1912, they submitted their petition for a charter. The petition was approved and the Mu chapter of Alpha Sigma Phi was installed on May 20, 1912, by Carl B. Croson, Beta &rsquo;11. Since that time, over 110 years ago, The Mu chapter won the Grand Senior President's Cup - signifying the best Alpha Sig chapter in North America on a large campus - six times: 1980, 1982, 1984, 1986, 2018, and 2020 With the Motto, &ldquo;To Better the Man&rdquo;, the over 80 currently active members embody this ideal on a daily basis. With a current multi-million dollar renovation wrapping up in early 2022, one of the oldest fraternity chapter houses still standing on the UW Greek Row, The Old Gal, remains one of the strongest brotherhoods in the nation. Fast Facts- Who we are: Average 3.50+ GPA 80+ Members 50+ Current Dean&rsquo;s List Scholars 30+ Different Majors $1,000,000 Endowment A fully renovated chapter house (Remodel finishing Spring 2022) We look forward to hearing from you and showing you what makes our chapter great!"
Alpha Theta Delta,ATD,Academic,We're a co-ed professional design fraternity. We welcome anyone with an interest in creative work or design to develop our professional network between student creatives and designers in relevant fields to create a welcoming design community.,"Alpha Theta Delta is a co-ed professional design fraternity that strives to empower members by providing opportunities for professional and personal growth. We are an interdisciplinary group of students, passionate about design and technology. Our goal is for our brothers to create lifelong bonds and gain the necessary skills and experiences to be readily prepared to join the workspace."
Alpha Xi Delta Sorority,AXiD,Fraternities & Sororities- IFC/PH,"Alpha Xi Delta is a progressive organization dedicated to the personal growth of women. Through membership in Alpha Xi Delta, Sisters are inspired to realize their potential through the ideals our Founders instilled in our Fraternity.","Alpha Xi Delta is a progressive organization dedicated to the personal growth of women. Through membership in Alpha Xi Delta, Sisters are inspired to realize their potential through the ideals our Founders instilled in our Fraternity: Sisterhood, leadership, knowledge and service to our communities."
Alphorn Club at the University of Washington,,Special Interest,A club dedicated to those who want to learn how to play and learn more about the Alphorn!,"Alphorn is a Swiss instrument originally invented to communicate throughout the Swiss Alps. Our goal is to help teach others about this instrument, its history, and how to play it."
Amana Relief,Amana Relief,Political/Social Action,"The purpose of Amana Relief is to support struggling communities of Muslims around the world through fundraisers, social events, and educational campaigns. The organization aims to raise funds for humanitarian aid, increase awareness of global challenges","Amana Relief at University of Washington Amana Relief is a Registered Student Organization (RSO) at the University of Washington dedicated to raising awareness and educating our campus community about the challenges faced by Muslim communities around the world. Our primary mission is to foster understanding, knowledge, and compassion through comprehensive educational programs and informative campaigns. We accomplish our objectives through various activities, including: Educational events, workshops, and speaker series designed to inform students about global humanitarian issues. Awareness campaigns aimed at highlighting specific challenges faced by struggling communities. Fundraisers to provide humanitarian aid, supporting our educational initiatives by connecting theory with practical action. Social events to build community engagement, solidarity, and cooperation among students. Our organization is managed by UW students, with key officer roles including the President, Vice President, Treasurer, Secretary/Outreach Coordinator, and Chapter Leaders. Membership is open to all UW-Seattle students who share our commitment to education, global awareness, and community engagement. Join Amana Relief to become part of an informed and compassionate community dedicated to educational growth and global solidarity."
Amateur Radio Club at the University of Washington,ARCUW,Engineering,"Our organization aims to foster and maintain community among Amateur (Ham) Radio enthusiasts and hobbyists affiliated with UW and in the broader Seattle area. Our mission is to learn, practice, and teach radio-related knowledge and skills.","Our organization aims to foster and maintain community among Amateur (Ham) Radio enthusiasts and hobbyists affiliated with UW and in the broader Seattle area. Our mission is to learn, practice, and teach radio-related knowledge and skills."
"American Academy of Developmental Medicine and Dentistry, University of Washington Chapter","AADMD, UW Chapter",Medical/Dental/Nursing/Pharmacy,Our mission is to improve the quality of healthcare for individuals with neurodevelopmental disorders and intellectual disabilities. The most valuable contribution we can make is to contribute our expertise where it will have an impact.,"Our mission is to improve the quality of healthcare for individuals with neurodevelopmental disorders and intellectual disabilities. The most valuable contribution we can make is to contribute our expertise where it will have the most significant impact - the universities and healthcare centers where healthcare professionals are trained. Furthermore, we can enhance our contribution by working collaboratively with advocacy organizations and associations that serve our patients."
American Association of Airport Executives - University of Washington Chapter,AAAE-UW Chapter,"Engineering, Special Interest",The American Association of Airport Executives (AAAE) is a student chapter at UW that is focused on promoting networking with airport professionals and learning about the airports in the Seattle Metropolitan Area through site visits.,
"American Association of Psychiatric Pharmacists, University of Washington Collegiate Chapter",AAPP UW Collegiate Chapter,Academic,The AAPP UW Collegiate Chapter will exist to encourage all student pharmacists to become more knowledgeable about the profession of psychiatric and neurologic pharmacy.,"The mission of AAPP is to advance the reach and practice of psychiatric pharmacy and serve as the voice of the specialty. AAPP envisions a world where all individuals living with mental illness receive safe, appropriate, and effective treatment."
American Association of Women Dentists UW Chapter,AAWD UW Chapter,Medical/Dental/Nursing/Pharmacy,"The American Association of Women Dentists UW Chapter aims to uplift women in dentistry by holding networking events, women’s history month events, and lunch & learns to highlight some of the impactful women in our local dental community.","The American Association of Women Dentists UW Chapter aims to uplift women in dentistry by holding networking events, women&rsquo;s history month events, and lunch & learns to highlight some of the impactful women in our local dental community. Hosting more frequent events and fostering a stronger school-wide community will allow us to shine more light on the issues many women face when accessing healthcare. We hope to promote women&rsquo;s health and empower each other as healthcare providers to best meet the needs of our patients, whether that is in terms of access to dental care, feminine hygiene products, resources for domestic violence, or other."
American Cancer Society On Campus,ACS on Campus at UW,Special Interest,"Work with the American Cancer Society non-profit to spread cancer awareness to our campus and local community through various events and plan the ACS fundraiser, Relay for Life at UW.",To spread cancer awareness to our campus and local community by planning ACS fundraisers and our annual Relay for Life at UW!
American Concrete Institute UW Student Chapter,ACI UW,"Academic, Business, Engineering, Environmental",We are a team of students representing the University of Washington in biannual concrete competitions at the ACI conventions. Our team is eager to learn more about concrete and the construction industry.,"We are a team of students representing the University of Washington in biannual concrete competitions at the ACI conventions. Our team is eager to learn more about concrete and the construction industry. We aim to propel our members into the industry through networking, educational tours, and hands-on projects. At the beginning of preparation for each competition, we choose a team of 8 people to be involved while other members join weekly meetings, educational sessions, site tours planned by the officers, and social hours with our special guests. We need to evolve and progress through our studies by learning and exploring more materials used in concrete construction. We are well aware of the carbon footprint of concrete; one of our goals is to try our best to keep our mix carbon neutral by implementing supplemental cementitious materials and locally sourced aggregates. We define ourselves as a student-led, environmentally-focused organization dedicated to advancing sustainable concrete practices to create a better world for future generations."
American Constitution Society,ACS,"Law, Political/Social Action",The American Constitution Society (ACS) believes that law should be a force to improve the lives of all people. ACS works for positive change by shaping debate on vitally important legal and constitutional issues.,"The American Constitution Society (ACS) believes that law should be a force to improve the lives of all people. ACS works for positive change by shaping debate on vitally important legal and constitutional issues through development and promotion of high-impact ideas to opinion leaders and the media; by building networks of lawyers, law students, judges and policymakers dedicated to those ideas; and by countering the activist conservative legal movement that has sought to erode our enduring constitutional values. By bringing together powerful, relevant ideas and passionate, talented people, ACS makes a difference in the constitutional, legal and public policy debates that shape our democracy."
American Dental Education Association - Chapter at University of Washington School of Dentistry,ADEA at UW,"Academic, Graduate/Professional, Health Sciences, Medical/Dental/Nursing/Pharmacy",Improve oral health care through student involvement in the advancement of dental education and research,"The American Dental Education Association (ADEA) is The Voice of Dental Education. Our mission is to lead institutions and individuals in the dental education community to address contemporary issues influencing education, research and the delivery of oral health care for the overall health and safety of the public."
American Fisheries Society University of Washington Student Chapter,AFSUW,"Environmental, Graduate/Professional, Sciences","This subunit aims to provide access to resources such as mentor/mentee opportunities, travel and research funding, professional development workshop, and more, to undergrads and graduate students while encouraging participation in the larger AFS society.","At the American Fisheries Society Chapter UW Subunit we aim to: Enhance connections between students, undergraduates and graduates in the aquatic sciences alike. Facilitate connections to state and federal agency employees through one-on-one or group mentorship. Provide access to resources such as mentor/mentee opportunities, travel and research funding, professional development workshops, field research experiences, and more. Capitalize on funding from the joint state/province chapter to provide support to members and cater quarterly meetings. Encourage attendance/engagement with AFS-hosted events (state, regional, and national meetings. Facilitate the exchange of regional fisheries information among students and Subunit members as well as encourage student involvement in the Chapter, Division, and Society"
American Indian Science and Engineering Society-UW Chapter,AISES-UW,Engineering,The mission of the American Indian Science and Engineering Society (AISES)-UW is to substantially increase the representation of indigenous peoples in North America in STEM studies and careers. We aim to combine traditional native values with STEM fields,"The mission of the American Indian Science and Engineering Society (AISES)-UW is to substantially increase the representation of American Indians, Alaskan Natives, Native Hawaiians, Pacific Islanders, First Nations and other indigenous peoples in North America in science, technology, engineering and math (STEM) studies and careers. We aim to combine traditional native values with the STEM fields. As a part of the RSO, members also have the ability to participate in First Nations Launch, which is a rocketry competition where members are tasked with creating and flying a rocket at a yearly competition hosted by the Wisconsin Space Grant."
"American Institute of Aeronautics and Astronautics at UW, Student Branch",AIAA,Engineering,The Objective of this organization is to further the purposes and programs of the American Institute of Aeronautics and Astronautics at the University of Washington.,The objective of this organization is to further the purposes and programs of the American Institute of Aeronautics and Astronautics at the University of Washington. Our goal is to facilitate industry/academia outreach in the aerospace/aviation community to support students in career explorations and prepare them for industry.
American Institute of Architecture Students - UW Chapter,AIAS - UW Chapter,Graduate/Professional,The American Institute of Architecture Students at the University of Washington is a student-run organization that promotes professional development and strives to create a network of students to collectively learn more about,"The American Institute of Architecture Students at the University of Washington is a student-run organization that promotes professional development and strives to create a network of students to collectively learn more about the field of architecture. Existing within the College of Built Environments, the RSO runs a peer mentorship program, design skills workshops, architecture firm tours, an annual Beaux Arts Ball, etc."
American Institute of Chemical Engineers UW Student Chapter,AIChE,Engineering,"The American Institute of Chemical Engineers is an organization aimed to highlight the network of chemical engineers in industry in professional growth, international relations to expand ideas, and cultivate a welcoming and social environment for all.","It shall be the purpose of this organization to promote a network for all chemical engineers, locally and internationally. Our vision is to promote a sense of community and preparedness for chemical engineering to grow both academically and professionally. We aim to plant the seed of professional and personal growth through innovation in sustainability, networking, and creating a welcoming environment for students, staff, and all faculty."
